country,latitude,longitude
일본,35 41 N,139 46 E
중국,39 55 N,116 45 E
대한민국,37 30 N,127 00 E
말레이시아,3 08 N,101 42 E
미얀마,16 47 N,96 10 E
베트남,21 01 N,105 52 E
싱가포르,1 22 N,103 48 E
인도네시아,6 08 N,106 45 E
캄보디아,11 35 N,104 55 E
태국,13 44 N,100 30 E
필리핀,14 37 N,120 58 E
뉴질랜드,41 17 S,174 47 E
러시아,55 45 N,37 42 E
미국,38 55 N,77 00 W
영국,51 30 N,0 10 W
캐나다,45 25 N,75 43 W
호주,25 0 S,135 0 E
홍콩,22 15 N,114 10 E
대만,24 0 N,121 0 E
그리스,39 0 N,22 0 E
네덜란드,52 15 N,5 45 E
덴마크,56 0 N,10 0 E
독일,51 30 N,10 30 E
라트비아,57 0 N,25 0 E
루마니아,45 0 N,25 0 E
룩셈부르크,49 45 N,6 10 E
리투아니아,55 25 N,24 0 E
몰타,35 55 N,14 25 E
벨기에,50 45 N,4 30 E
불가리아,42 40 N,25 15 E
스웨덴,62 0 N,15 0 E
스페인,40 0 N,4 0 W
슬로바키아,48 40 N,19 30 E
슬로베니아,46 4 N,15 0 E
아일랜드,53 0 N,8 0 W
에스토니아,59 0 N,26 0 E
오스트리아,47 19 N,13 19 E
이탈리아,42 49 N,12 49 E
체코,49 45 N,15 0 E
크로아티아,45 10 N,15 30 E
키프로스,35 0 N,33 0 E
포르투갈,39 30 N,8 0 W
폴란드,52 0 N,20 0 E
프랑스,46 0 N,2 0 E
핀란드,64 0 N,26 0 E
헝가리,47 0 N,20 0 E
